Dato,Tid,Vindretning,Vindstyrke,Vindkast
2024-08-12,00:00,139,1.6,2.7
2024-08-12,00:10,137,1.9,2.7
2024-08-12,00:20,141,1.9,2.7
2024-08-12,00:30,143,1.8,2.7
2024-08-12,00:40,153,2.3,3.3
2024-08-12,00:50,155,2.1,3
2024-08-12,01:00,152,1.5,2.4
2024-08-12,01:10,150,0.9,1.8
2024-08-12,01:20,148,1.6,2.7
2024-08-12,01:30,139,1.6,2.4
2024-08-12,01:40,141,1.6,2.4
2024-08-12,01:50,137,1.6,2.4
2024-08-12,02:00,139,1.7,2.4
2024-08-12,02:10,147,2,2.7
2024-08-12,02:20,136,1.3,2.7
2024-08-12,02:30,134,1.2,1.8
2024-08-12,02:40,139,1,1.5
2024-08-12,02:50,139,0.8,1.2
2024-08-12,03:00,139,0.5,1.2
2024-08-12,03:10,139,0.5,1.2
2024-08-12,03:20,139,0.5,0.9
2024-08-12,03:30,139,0.8,1.2
2024-08-12,03:40,139,0.6,0.9
2024-08-12,03:50,139,0.8,1.2
2024-08-12,04:00,140,0.5,0.9
2024-08-12,04:10,140,0.4,0.9
2024-08-12,04:20,140,0.2,0.6
2024-08-12,04:30,140,0.5,0.9
2024-08-12,04:40,140,0.5,0.9
2024-08-12,04:50,140,0.6,1.2
2024-08-12,05:00,140,0.8,1.5
2024-08-12,05:10,140,0.5,1.2
2024-08-12,05:20,140,0.7,1.5
2024-08-12,05:30,140,0.6,1.5
2024-08-12,05:40,140,0.9,1.8
2024-08-12,05:50,134,1.3,2.1
2024-08-12,06:00,130,1,1.5
2024-08-12,06:10,129,0.8,1.5
2024-08-12,06:20,129,0.3,1.5
2024-08-12,06:30,129,0.8,2.4
2024-08-12,06:40,129,0.2,0.6
2024-08-12,06:50,122,0.5,1.2
2024-08-12,07:00,110,0.4,1.5
2024-08-12,07:10,108,1.1,2.4
2024-08-12,07:20,119,0.9,2.1
2024-08-12,07:30,119,0.5,1.2
2024-08-12,07:40,119,0.6,1.8
2024-08-12,07:50,116,0.8,1.8
2024-08-12,08:00,135,0.4,1.5
2024-08-12,08:10,202,0.6,1.5
2024-08-12,08:20,335,1.5,3
2024-08-12,08:30,349,1,1.8
2024-08-12,08:40,338,1.2,2.4
2024-08-12,08:50,323,0.9,1.8
2024-08-12,09:00,251,1.1,2.4
2024-08-12,09:10,289,1.6,3.3
2024-08-12,09:20,324,1.3,3.3
2024-08-12,09:30,315,1.3,3.6
2024-08-12,09:40,272,0.7,1.8
2024-08-12,09:50,300,1.2,2.4
2024-08-12,10:00,281,1.5,3.3
2024-08-12,10:10,303,1.8,3.9
2024-08-12,10:20,331,1.5,2.7
2024-08-12,10:30,331,1.6,2.7
2024-08-12,10:40,315,1.3,2.7
2024-08-12,10:50,321,1.9,3.6
2024-08-12,11:00,330,1.3,2.7
2024-08-12,11:10,11,1.1,3.3
2024-08-12,11:20,336,2.1,3.3
2024-08-12,11:30,328,2.3,3.6
2024-08-12,11:40,341,2,3.9
2024-08-12,11:50,341,2.2,3.3
2024-08-12,12:00,334,2.1,3.6
2024-08-12,12:10,322,2.1,3.6
2024-08-12,12:20,318,1.1,2.4
2024-08-12,12:30,281,1.1,2.7
2024-08-12,12:40,182,1.4,3.3
2024-08-12,12:50,239,0.8,2.4
2024-08-12,13:00,197,1.1,2.4
2024-08-12,13:10,163,2.9,5.1
2024-08-12,13:20,184,2,4.5
2024-08-12,13:30,320,1.6,3.3
2024-08-12,13:40,321,1.9,3.3
2024-08-12,13:50,334,1,2.4
2024-08-12,14:00,171,3.3,6.6
2024-08-12,14:10,179,4,7.2
2024-08-12,14:20,169,4.8,7.2
2024-08-12,14:30,177,4,6.9
2024-08-12,14:40,161,4.2,6.6
2024-08-12,14:50,144,4.9,7.8
2024-08-12,15:00,157,4.9,7.8
2024-08-12,15:10,176,4.5,8.1
2024-08-12,15:30,163,5.1,7.5
2024-08-12,15:40,159,4.8,7.5
2024-08-12,15:50,164,3.1,6.9
2024-08-12,16:00,167,3.3,5.7
2024-08-12,16:10,170,3.1,5.4
2024-08-12,16:20,172,3,4.8
2024-08-12,16:30,164,3.1,5.1
2024-08-12,16:40,165,2.4,4.5
2024-08-12,16:50,178,1.8,3.6
2024-08-12,17:00,190,1.9,3.3
2024-08-12,17:10,207,1,2.4
2024-08-12,17:20,159,2.4,3.9
2024-08-12,17:30,158,3.3,4.8
2024-08-12,17:40,163,2.5,5.1
2024-08-12,17:50,151,2.2,3.6
2024-08-12,18:00,142,2.3,3.9
2024-08-12,18:10,132,3.4,5.4
2024-08-12,18:20,135,4.2,5.4
2024-08-12,18:30,153,3.9,6
2024-08-12,18:40,166,4,5.4
2024-08-12,18:50,176,2.2,3.9
2024-08-12,19:00,118,1.6,3.3
2024-08-12,19:10,113,2.8,4.2
2024-08-12,19:20,129,3.2,4.8
2024-08-12,19:30,134,3.4,5.1
2024-08-12,19:40,133,3,4.8
2024-08-12,19:50,129,3.1,5.4
2024-08-12,20:00,117,3.8,5.7
2024-08-12,20:10,121,2.7,3.9
2024-08-12,20:20,116,1.6,2.7
2024-08-12,20:30,101,0.9,1.8
2024-08-12,20:40,100,1,1.8
2024-08-12,20:50,103,2.1,3.6
2024-08-12,21:00,124,2.5,3.9
2024-08-12,21:10,135,2.8,4.8
2024-08-12,21:20,140,3.6,4.8
2024-08-12,21:30,147,2.5,4.5
2024-08-12,21:40,125,1.8,2.7
2024-08-12,21:50,124,1.9,3
2024-08-12,22:00,122,1.4,2.4
2024-08-12,22:10,143,1,2.7
2024-08-12,22:20,311,1.4,2.7
2024-08-12,22:30,73,1,1.5
2024-08-12,22:40,152,0.3,1.8
2024-08-12,22:50,192,1.2,2.1
2024-08-12,23:00,327,1.4,2.7
2024-08-12,23:10,330,0.7,1.8
2024-08-12,23:20,322,0.7,1.8
2024-08-12,23:30,320,0.9,1.8
2024-08-12,23:40,318,0.3,1.2
2024-08-12,23:50,89,1.2,2.1
2024-08-13,00:00,105,0.4,1.2
2024-08-13,00:10,105,0.8,1.5
2024-08-13,00:20,105,0.5,0.9
2024-08-13,00:30,105,0,0.6
2024-08-13,00:40,105,0.5,0.9
2024-08-13,00:50,105,0.5,0.9
2024-08-13,01:00,105,0.4,1.2
2024-08-13,01:10,105,0.6,1.8
2024-08-13,01:20,328,1.6,2.4
2024-08-13,01:30,360,1.3,2.1
2024-08-13,01:40,143,1.4,2.7
2024-08-13,01:50,162,1.2,1.8
2024-08-13,02:00,162,1,1.5
2024-08-13,02:10,162,1.1,2.1
2024-08-13,02:20,162,0.6,1.5
2024-08-13,02:30,162,0.6,0.9
2024-08-13,02:40,162,0.8,1.5
2024-08-13,02:50,162,0.2,1.2
2024-08-13,03:00,162,0.8,1.5
2024-08-13,03:10,162,0.9,1.5
2024-08-13,03:20,162,0.2,0.9
2024-08-13,03:30,162,0.6,1.2
2024-08-13,03:40,162,0.2,0.6
2024-08-13,03:50,162,0.5,1.2
2024-08-13,04:00,162,0.9,1.5
2024-08-13,04:10,162,0.5,1.2
2024-08-13,04:20,162,0.2,0.9
2024-08-13,04:30,162,0.2,1.2
2024-08-13,04:40,163,1,1.8
2024-08-13,04:50,156,1,1.8
2024-08-13,05:00,152,0.7,1.2
2024-08-13,05:10,171,0.8,1.8
2024-08-13,05:20,323,2.2,4.8
2024-08-13,05:30,140,1,2.4
2024-08-13,05:40,223,0.9,1.8
2024-08-13,05:50,224,0.2,0.9
2024-08-13,06:00,214,0.7,1.5
2024-08-13,06:10,240,1.2,1.8
2024-08-13,06:20,293,0.8,1.8
2024-08-13,06:30,292,1.4,2.4
2024-08-13,06:40,308,1.3,3
2024-08-13,06:50,320,1.2,2.7
2024-08-13,07:00,301,0.8,2.4
2024-08-13,07:10,306,1.1,2.7
2024-08-13,07:20,318,0.5,1.5
2024-08-13,07:30,318,0.5,1.2
2024-08-13,07:40,318,0.2,0.9
2024-08-13,07:50,318,0.4,1.2
2024-08-13,08:00,4,0.6,1.8
2024-08-13,08:10,95,0.4,1.2
2024-08-13,08:20,95,0.3,0.9
2024-08-13,08:30,94,0.8,2.1
2024-08-13,08:40,326,2.4,3.9
2024-08-13,08:50,282,2.2,3.6
2024-08-13,09:00,308,0.5,1.2
2024-08-13,09:10,312,0.3,0.9
2024-08-13,09:20,313,0.8,1.5
2024-08-13,09:30,88,1,1.8
2024-08-13,09:40,103,1.1,1.8
2024-08-13,09:50,110,0.5,1.2
2024-08-13,10:00,45,0.9,1.8
2024-08-13,10:10,356,1,2.1
2024-08-13,10:20,307,0.8,1.5
2024-08-13,10:30,293,0.6,1.8
2024-08-13,10:40,293,0.6,1.5
2024-08-13,10:50,103,0.8,2.4
2024-08-13,11:00,108,1,2.4
2024-08-13,11:10,279,1.9,4.8
2024-08-13,11:20,312,2.2,3.9
2024-08-13,11:30,17,1.3,2.7
2024-08-13,11:40,54,0.5,1.8
2024-08-13,11:50,138,2,3.3
2024-08-13,12:00,123,2.7,4.2
2024-08-13,12:10,150,2.2,3
2024-08-13,12:20,165,2.2,3.6
2024-08-13,12:30,132,1.3,2.7
2024-08-13,12:40,127,1.3,2.1
2024-08-13,12:50,126,2.6,4.8
2024-08-13,13:00,136,3.6,5.4
2024-08-13,13:10,146,4.6,6.3
2024-08-13,13:20,164,3.9,5.4
2024-08-13,13:30,170,3.7,5.4
2024-08-13,13:40,158,4.8,6.9
2024-08-13,13:50,153,5.1,7.5
2024-08-13,14:00,154,4.6,8.1
2024-08-13,14:10,152,5.1,10.2
2024-08-13,14:20,148,4,9.9
2024-08-13,14:30,138,5.2,9
2024-08-13,14:40,147,4.2,7.8
2024-08-13,14:50,151,4.5,7.2
2024-08-13,15:00,146,4,6.6
2024-08-13,15:10,144,4,6.6
2024-08-13,15:20,138,3.7,6.6
2024-08-13,15:30,138,3.4,6.6
2024-08-13,15:40,146,4.4,7.8
2024-08-13,15:50,150,2.8,4.8
2024-08-13,16:00,153,2.6,4.2
2024-08-13,16:10,151,1.6,3.6
2024-08-13,16:20,160,1.6,3
2024-08-13,16:30,155,1.2,1.8
2024-08-13,16:40,144,1,1.8
2024-08-13,16:50,139,1.2,2.4
2024-08-13,17:00,138,1.3,2.7
2024-08-13,17:10,289,2.3,3.9
2024-08-13,17:20,318,3.5,5.1
2024-08-13,17:30,305,3.3,6.3
2024-08-13,17:40,259,1.9,3.9
2024-08-13,17:50,98,1.2,2.4
2024-08-13,18:00,119,2.9,5.4
2024-08-13,18:10,125,2.8,4.8
2024-08-13,18:20,122,2.5,3.9
2024-08-13,18:30,124,2.6,4.2
2024-08-13,18:40,118,2.9,5.1
2024-08-13,18:50,117,3.4,4.8
2024-08-13,19:00,122,3.4,4.8
2024-08-13,19:10,132,3.3,6
2024-08-13,19:20,155,2.5,4.2
2024-08-13,19:30,139,2,3
2024-08-13,19:40,141,2.5,3.6
2024-08-13,19:50,153,2.4,3
2024-08-13,20:00,135,2.5,3.3
2024-08-13,20:10,138,2.1,2.7
2024-08-13,20:20,158,2,2.7
2024-08-13,20:40,120,1.9,2.7
2024-08-13,20:50,120,1.6,2.1
2024-08-13,21:00,122,1.8,2.4
2024-08-13,21:10,123,2.4,3
2024-08-13,21:20,153,1.9,2.7
2024-08-13,21:30,167,2,2.7
2024-08-13,21:40,154,1.3,1.8
2024-08-13,21:50,123,1.6,2.4
2024-08-13,22:00,105,1.9,3.6
2024-08-13,22:10,120,2.2,3.3
2024-08-13,22:20,124,1.6,2.7
2024-08-13,22:30,117,0.9,1.8
2024-08-13,22:40,134,2.1,3.9
2024-08-13,22:50,116,2.5,3.9
2024-08-13,23:00,126,2.4,3.6
2024-08-13,23:10,119,2.9,4.2
2024-08-13,23:20,129,3,4.5
2024-08-13,23:30,138,2.5,4.2
2024-08-13,23:40,116,1.6,2.4
2024-08-13,23:50,124,1.3,2.1
