#NORA3_wave_sub;LONGITUDE:3.752;LATITUDE:64.5944
#Variable_name;standard_name;long_name;units
#Pdir;sea_surface_wave_to_direction_at_variance_spectral_density_maximu;peak direction;degree
#hs;sea_surface_wave_significant_height;Total significant wave height;m
#hs_sea;sea_surface_wind_wave_significant_height;Sea significant wave height;m
#hs_swell;sea_surface_swell_wave_significant_height;Swell significant wave height;m
#thq;sea_surface_wave_to_direction;Total mean wave direction;degree
#thq_sea;sea_surface_wind_wave_to_direction;Sea mean wave direction;degree
#thq_swell;sea_surface_swell_wave_to_direction;Swell mean wave direction;degree
#tm1;sea_surface_wave_mean_period_from_variance_spectral_density_first_frequency_moment;Total m1-period;s
#tm2;sea_surface_wave_mean_period_from_variance_spectral_density_second_frequency_moment;Total m2-period;s
#tmp;sea_surface_wave_mean_period_from_variance_spectral_density_inverse_frequency_moment;Total mean period;s
#tp;sea_surface_wave_period_at_variance_spectral_density_maximum;Total peak period;s
#tp_sea;sea_surface_wind_wave_peak_period_from_variance_spectral_density;Sea peak period;s
#tp_swell;sea_surface_swell_wave_peak_period_from_variance_spectral_density;Swell peak period;s
#NORA3_wind_sub;LONGITUDE:3.752;LATITUDE:64.6048
#Variable_name;standard_name;long_name;units
#wind_speed_10m;wind_speed;-;m/s
#wind_direction_10m;wind_from_direction;-;degrees clockwise from north (meteorological)
#wind_speed_20m;wind_speed;-;m/s
#wind_direction_20m;wind_from_direction;-;degrees clockwise from north (meteorological)
#wind_speed_50m;wind_speed;-;m/s
#wind_direction_50m;wind_from_direction;-;degrees clockwise from north (meteorological)
#wind_speed_100m;wind_speed;-;m/s
#wind_direction_100m;wind_from_direction;-;degrees clockwise from north (meteorological)
#wind_speed_250m;wind_speed;-;m/s
#wind_direction_250m;wind_from_direction;-;degrees clockwise from north (meteorological)
#wind_speed_500m;wind_speed;-;m/s
#wind_direction_500m;wind_from_direction;-;degrees clockwise from north (meteorological)
#wind_speed_750m;wind_speed;-;m/s
#wind_direction_750m;wind_from_direction;-;degrees clockwise from north (meteorological)
time,wind_speed_10m,wind_direction_10m,wind_speed_20m,wind_direction_20m,wind_speed_50m,wind_direction_50m,wind_speed_100m,wind_direction_100m,wind_speed_250m,wind_direction_250m,wind_speed_500m,wind_direction_500m,wind_speed_750m,wind_direction_750m,Pdir,hs,hs_sea,hs_swell,thq,thq_sea,thq_swell,tm1,tm2,tmp,tp,tp_sea,tp_swell
2020-01-01 00:00:00,20.34,249.0,21.46,249.1,23.33,249.3,24.6,249.6,27.02,250.7,29.15,252.6,31.02,256.0,76.17,6.24,6.16,0.98,71.88,70.24,196.65,8.1,7.32,9.12,11.17,11.17,13.51
2020-01-01 01:00:00,20.13,249.2,21.23,249.3,23.12,249.6,24.55,250.0,26.95,251.1,29.07,253.3,31.07,257.6,77.23,6.86,6.79,1.0,72.25,70.83,190.69,8.57,7.79,9.58,11.17,11.17,13.51
2020-01-01 02:00:00,19.4,249.2,20.5,249.3,22.24,249.6,23.76,249.9,26.07,250.9,28.4,253.2,30.52,258.1,80.86,7.1,7.03,1.01,73.63,71.91,166.08,8.86,8.04,9.92,11.17,11.17,13.51
2020-01-01 03:00:00,17.27,254.8,18.15,254.8,19.74,255.1,21.17,255.5,23.22,256.4,25.29,258.2,26.7,260.3,85.63,7.22,7.15,1.02,74.68,72.17,147.77,9.06,8.21,10.15,12.28,12.28,13.51
2020-01-01 04:00:00,17.8,247.6,18.95,247.6,20.61,247.9,21.98,248.3,24.16,249.4,26.14,251.3,27.2,253.7,87.44,7.22,7.13,1.08,75.79,72.43,128.23,9.24,8.36,10.37,12.28,12.28,14.86
2020-01-01 05:00:00,18.48,243.5,19.58,243.6,21.34,243.9,22.77,244.2,25.12,245.3,27.46,247.5,28.81,251.1,88.29,7.25,7.17,1.09,76.45,70.42,125.38,9.46,8.59,10.6,12.28,12.28,13.51
2020-01-01 06:00:00,17.61,243.6,18.59,243.6,20.25,243.9,21.65,244.3,24.11,245.4,26.93,247.8,28.84,251.3,88.44,7.28,7.2,1.09,77.1,68.95,112.94,9.63,8.73,10.81,12.28,12.28,14.86
2020-01-01 07:00:00,17.94,241.5,19.0,241.4,20.58,241.7,22.02,242.1,24.0,243.0,25.93,244.9,27.16,247.1,88.34,7.26,7.18,1.1,77.33,68.38,113.63,9.7,8.78,10.91,12.28,12.28,14.86
2020-01-01 08:00:00,18.66,238.2,19.77,238.4,21.47,238.7,22.84,239.0,24.88,239.9,26.68,241.4,27.91,243.0,87.92,7.24,7.15,1.11,76.6,68.43,119.69,9.65,8.72,10.89,12.28,12.28,13.51
2020-01-01 09:00:00,19.18,232.1,20.26,232.2,22.03,232.5,23.3,232.9,25.48,234.0,27.07,235.4,28.22,237.0,87.36,7.28,7.19,1.11,75.31,68.56,122.28,9.57,8.64,10.82,12.28,12.28,16.35
2020-01-01 10:00:00,19.81,235.2,21.04,235.4,22.81,235.7,24.33,236.1,26.45,236.9,28.51,238.3,29.86,239.5,86.86,7.37,7.29,1.11,73.73,68.3,128.48,9.51,8.59,10.77,12.28,12.28,13.51
2020-01-01 11:00:00,19.69,230.3,20.82,230.6,22.7,230.9,24.22,231.3,26.65,232.6,29.15,235.2,31.49,240.7,86.18,7.59,7.49,1.19,71.94,65.3,120.62,9.46,8.51,10.75,12.28,12.28,16.35
2020-01-01 12:00:00,20.28,234.0,21.39,234.2,23.28,234.5,24.97,234.9,27.39,236.2,29.95,238.9,32.62,244.4,85.77,7.73,7.65,1.07,70.92,67.0,127.4,9.58,8.65,10.83,12.28,12.28,13.51
2020-01-01 13:00:00,20.84,246.4,22.09,246.7,23.93,247.0,25.61,247.5,27.86,248.7,29.85,250.8,31.02,252.8,85.43,7.95,7.88,1.09,71.71,71.63,225.38,9.65,8.72,10.91,12.28,12.28,13.51
2020-01-01 14:00:00,19.17,252.9,20.21,253.3,21.99,253.6,23.35,254.0,25.41,255.1,27.06,256.8,27.93,258.3,85.7,8.11,8.02,1.16,73.64,74.83,11.24,9.83,8.89,11.09,13.51,13.51,13.51
2020-01-01 15:00:00,16.49,251.8,17.37,251.9,19.02,252.3,20.5,252.8,23.19,254.9,25.38,258.7,26.16,264.0,86.63,7.94,7.85,1.15,75.35,75.38,75.11,10.03,9.07,11.31,13.51,13.51,16.35
2020-01-01 16:00:00,15.74,252.1,16.71,252.2,18.19,252.6,19.68,253.2,22.1,255.2,24.3,259.2,25.1,264.9,87.52,7.74,7.65,1.15,76.94,74.7,81.87,10.15,9.14,11.49,13.51,13.51,14.86
2020-01-01 17:00:00,15.1,248.6,15.85,248.7,17.39,249.1,18.63,249.7,20.97,251.9,22.94,257.3,22.94,263.0,88.28,7.51,5.4,5.22,77.89,71.31,84.34,10.22,9.19,11.6,13.51,12.28,13.51
2020-01-01 18:00:00,14.39,246.4,15.19,246.5,16.57,246.9,17.96,247.7,20.18,250.1,21.75,255.3,21.29,260.4,88.78,7.28,4.73,5.53,78.36,68.85,84.8,10.22,9.15,11.65,13.51,11.17,13.51
2020-01-01 19:00:00,12.43,242.6,13.14,242.7,14.35,243.2,15.57,244.0,17.57,246.6,18.94,252.5,18.18,257.4,89.0,7.02,3.63,6.01,78.55,63.2,82.77,10.23,9.11,11.71,14.86,9.23,14.86
2020-01-01 20:00:00,11.21,233.0,11.85,233.1,13.12,233.8,14.34,235.0,16.26,238.0,17.6,242.1,17.4,246.1,88.83,6.76,2.88,6.12,78.33,53.21,82.12,10.25,9.11,11.74,14.86,8.39,14.86
2020-01-01 21:00:00,11.29,224.1,11.81,224.2,12.91,224.9,13.99,226.0,16.34,231.3,17.11,235.2,16.94,235.3,88.29,6.51,2.6,5.97,77.88,46.12,81.75,10.22,9.06,11.72,14.86,7.63,14.86
2020-01-01 22:00:00,8.66,196.7,9.54,196.5,10.78,197.6,12.12,199.2,14.95,203.6,18.71,210.4,21.61,217.8,87.45,6.25,1.82,5.98,77.19,18.92,79.45,10.18,9.01,11.66,14.86,5.73,14.86
2020-01-01 23:00:00,19.18,220.6,20.34,220.7,22.19,221.0,23.58,221.4,26.03,222.5,28.11,224.3,29.48,226.8,85.81,6.31,6.23,1.01,72.31,55.41,102.44,9.64,8.56,11.16,14.86,14.86,14.86
2020-01-02 00:00:00,21.13,221.2,22.44,221.4,24.39,221.6,25.98,222.0,28.44,223.1,30.64,225.2,31.96,227.8,81.94,6.84,6.78,0.96,64.31,58.18,122.08,9.06,8.08,10.5,14.86,14.86,16.35
2020-01-02 01:00:00,21.6,225.2,22.86,225.3,24.86,225.5,26.52,225.9,28.99,226.8,31.24,228.6,32.55,230.4,78.06,7.52,7.38,1.46,59.75,57.39,140.63,9.04,8.13,10.33,12.28,12.28,13.51
